;;;;;;;;;;;;;;C2H6;C3H6;C3H8;H2;C2H4
l [m];C2H4;C3H6;C2H6;C3H8;H2;FLMOL [kgmol/hr];t [s];T [K];2;3;;;;C2H6 - HYSYS;C3H6 - HYSYS;C3H8 - HYSYS;H2 - HYSYS;C2H4 - HYSYS
0,003611104;0,008599325;0,002018262;0,782906605;0,19585822;0,010617587;1,01073153;0,000240757;1263,42959;0,304346508;0,071561989;;;1,135;0,557672865;2,95E-02;0,140310233;1,51E-01;0,121520337
0,00364278;0,008665901;0,002033917;0,782774244;0,195826119;0,010699818;1,010815543;0,000242866;1263,353371;0,303793387;0,071434022;;;1,145;0,557326761;2,95E-02;0,140223229;1,51E-01;0,121693198
0,003674457;0,008732345;0,002049542;0,782642145;0,195794081;0,010781887;1,010899403;0,000244975;1263,277287;0,303242196;0,071306498;;;1,155;0,556984042;2,96E-02;0,140137069;1,51E-01;0,121864365
0,003706133;0,008798658;0,002065136;0,782510307;0,195762105;0,010863794;1,010983112;0,000247083;1263,201339;0,302692927;0,071179415;;;1,165;0,556644647;2,96E-02;0,140051738;1,52E-01;0,12203387
0,00373781;0,00886484;0,0020807;0,782378728;0,195730192;0,01094554;1,01106667;0,000249192;1263,125526;0,302145568;0,071052769;;;1,175;0,556308516;2,97E-02;0,139967222;1,52E-01;0,122201742
0,003769486;0,008930892;0,002096233;0,782247408;0,195698342;0,011027125;1,011150078;0,000251301;1263,049848;0,30160011;0,07092656;;;1,185;0,55597559;2,97E-02;0,139883505;1,52E-01;0,122368011
0,003801162;0,008996813;0,002111737;0,782116347;0,195666553;0,01110855;1,011233336;0,000253409;1262,974303;0,301056543;0,070800784;;;1,195;0,555645811;2,97E-02;0,139800574;1,52E-01;0,122532706
0,003832839;0,009062606;0,00212721;0,781985542;0,195634827;0,011189816;1,011316445;0,000255518;1262,898893;0,300514858;0,07067544;;;1,205;0,555319125;2,98E-02;0,139718415;1,52E-01;0,122695854
0,003864515;0,009128269;0,002142654;0,781854993;0,195603162;0,011270923;1,011399405;0,000257626;1262,823615;0,299975045;0,070550526;;;1,215;0,554995476;2,98E-02;0,139637014;1,53E-01;0,122857483
0,003896191;0,009193804;0,002158068;0,781724699;0,195571558;0,011351871;1,011482216;0,000259735;1262,74847;0,299437094;0,070426039;;;1,225;0,554674811;2,99E-02;0,139556357;1,53E-01;0,123017619
0,003927868;0,00925921;0,002173452;0,78159466;0,195540016;0,011432662;1,01156488;0,000261843;1262,673458;0,298900996;0,070301976;;;1,235;0,554357077;2,99E-02;0,139476432;1,53E-01;0,12317629
0,003959544;0,00932449;0,002188807;0,781464874;0,195508534;0,011513296;1,011647396;0,000263952;1262,598577;0,298366742;0,070178337;;;1,245;0,554042225;2,99E-02;0,139397227;1,53E-01;0,123333519
0,00399122;0,009389642;0,002204132;0,78133534;0,195477114;0,011593773;1,011729766;0,00026606;1262,523828;0,297834321;0,070055118;;;1,255;0,553730206;3,00E-02;0,139318729;1,53E-01;0,123489331
0,004022897;0,009454667;0,002219427;0,781206057;0,195445754;0,011674095;1,011811989;0,000268168;1262,449209;0,297303725;0,069932319;;;1,265;0,553420971;3,00E-02;0,139240926;1,54E-01;0,123643751
