l,"""Cl2 + Propene --> AllylCl + HCl"" rate","""Cl2 + Propene --> 12-ClC3"" rate",HCl,Propene,Cl2,AllylCl,12-ClC3,FLMOL,T
5.34999999999993,0.0006422563347384728,0.0006611920279196608,0.016880098274692362,0.7745191988114133,0.14871709006972847,0.016880098274692362,0.04300351456947336,0.6011644486165889,584.1097256066563
5.35999999999993,0.0006444920606419024,0.000660831928449811,0.016957196238000363,0.7744258909743155,0.14857515261126078,0.016957196238000363,0.043084563938422984,0.6011177371601262,584.3506538464766
5.36999999999993,0.000646733000649339,0.0006604697966943747,0.017034568993105615,0.7743323147109417,0.14843296582308083,0.017034568993105615,0.043165581479766374,0.6010710513012488,584.5917443751797
5.37999999999993,0.0006489791479783849,0.0006601056291600464,0.01711221720248775,0.7742384694123219,0.14829052925674777,0.01711221720248775,0.04324656692595497,0.6010243911838578,584.8329973303768
5.3899999999999295,0.0006512304956391053,0.0006597394223616116,0.017190141527857992,0.7741443544703704,0.1481478424650534,0.017190141527857992,0.04332752000886011,0.6009777569520999,585.074412847736
5.399999999999929,0.0006534870364321765,0.0006593711728221264,0.017268342630133122,0.7740499692779127,0.14800490500204727,0.017268342630133122,0.04340844045977381,0.6009311487503681,585.3159910609585
5.409999999999929,0.000655748762947045,0.0006590008770731003,0.017346821169409228,0.7739553132287095,0.14786171642306253,0.017346821169409228,0.043489328009409606,0.6008845667233004,585.5577321017532
5.419999999999929,0.0006580156675600583,0.0006586285316546832,0.01742557780493523,0.7738603857174847,0.14771827628474146,0.01742557780493523,0.04357018238790342,0.6008380110157794,585.7996360998127
5.429999999999929,0.0006602877424326083,0.0006582541331158489,0.01750461319508617,0.7737651861399514,0.1475745841450617,0.01750461319508617,0.04365100332481446,0.6007914817729315,586.0417031827872
5.4399999999999284,0.0006625649795092376,0.0006578776780145834,0.017583927997336248,0.7736697138928392,0.14743063956336228,0.017583927997336248,0.04373179054912619,0.6007449791401266,586.2839334762599
5.449999999999928,0.0006648473705157682,0.0006574991629180758,0.017663522868231595,0.7735739683739196,0.14728644210037015,0.017663522868231595,0.04381254378924712,0.6006985032629775,586.526327103722
5.459999999999928,0.0006671349069573917,0.000657118584402909,0.01774339846336291,0.7734779489820351,0.14714199131822692,0.01774339846336291,0.043893262773011976,0.6006520542873383,586.7688841865463
5.469999999999928,0.0006694275801167716,0.000656735939055251,0.017823555437337723,0.7733816551171263,0.14699728678051563,0.017823555437337723,0.043973947227682574,0.600605632359305,587.0116048439621
